
approach,max_len,method,Model,Alpha,Fit Prior,Oversampling,CrossValidation,acc,BF1,WF1
Snowball,30,Bag of Words,NB-1,1,False,True,False,0.776,0.5888397008456302,0.7946149399735394
Snowball,30,Bag of Words,NB-1,1,False,True,False,0.776,0.5888397008456302,0.7946149399735394
Snowball,30,Bag of Words,NB-1,1,False,True,True,0.7137504257976609,0.7080466715787835,0.7128859608829408
Snowball,30,Bag of Words,NB-1,0.05,False,True,False,0.781,0.5437569514497814,0.7869830934274851
Snowball,30,Bag of Words,NB-1,1,False,True,False,0.776,0.5888397008456302,0.7946149399735394
Snowball,30,Bag of Words,NB-2,1,False,True,False,0.543,0.36135741338397276,0.5683015107274969
Snowball,30,Bag of Words,NB-2,0.05,False,True,False,0.582,0.4076832897633455,0.5950418770726073
Hand-made,30,Bag of Words,NB-1,1,False,True,False,0.754,0.5547580258346417,0.7763219430929632
Hand-made,30,Bag of Words,NB-2,0.05,False,True,False,0.594,0.37195753433620043,0.6105377819608965
Snowball,30,Bag of Words,NB-1,1,False,True,False,0.776,0.5888397008456302,0.7946149399735394
Snowball,30,Bag of Words,NB-2,0.05,False,True,False,0.583,0.4072581296582761,0.5964945225629703
Snowball,30,Bag of Words,NB-1,1,Custom,True,False,0.759,0.5836072028841127,0.7839458333449775
Snowball,30,Bag of Words,NB-1,1,Custom,True,False,0.735,0.5677721840044447,0.7673168226187562
Snowball,30,Bag of Words,NB-1,1,Custom,True,False,0.711,0.5483599679210602,0.7488079946128786
Snowball,30,Bag of Words,NB-1,1,False,True,False,0.776,0.5888397008456302,0.7946149399735394
Snowball,30,Bag of Words,NB-2,0.05,custom,True,False,0.541,0.3625309891697262,0.5671811729626071
Snowball,30,Bag of Words,NB-2,0.05,custom,True,False,0.536,0.3610485703175167,0.5643788403060049
Snowball,30,TF-IDF Uni,NB-1,1,False,True,False,0.764,0.5767792183318955,0.7867271546603614
Snowball,30,TF-IDF Uni,NB-2,0.05,False,True,False,0.552,0.3542146996417742,0.5702007535722956
Snowball,30,Bag of Words,NB-2,0.05,False,True,False,0.583,0.4072581296582761,0.5964945225629703
Snowball,30,BoW+TF,NB-1,1,False,True,False,0.777,0.592246751542171,0.7962222265672273
Snowball,30,Bag of Words,NB-2,0.05,False,True,False,0.583,0.4072581296582761,0.5964945225629703
Snowball,30,TF-IDF Uni,NB-2,0.05,False,True,False,0.552,0.3542146996417742,0.5702007535722956
Snowball,30,Bag of Words,NB-2,0.05,False,True,False,0.583,0.4072581296582761,0.5964945225629703
